territorio,periodo,Indicador,Subcategoria_Indicador,tabela,variavel_cv,categoria,Estimativa,SE,cv_projeto,cv_oficial,dif,ok
Brasil,201602,Distribuicao_PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra14 a 17 anos,4094,4105,114535,0.0838884556850909,3.5524221292323414e-4,0.42346972538960403,0.4,0.023469725389604013,TRUE
Brasil,201603,Distribuicao_PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra14 a 17 anos,4094,4105,114535,0.08317738042206513,3.271709312312811e-4,0.39334122999681514,0.4,-0.006658770003184877,TRUE
Brasil,202602,Distribuicao_PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra14 a 17 anos,4094,4105,114535,0.0670474663085679,3.1667946399247193e-4,0.47232129926437494,0.5,-0.02767870073562506,TRUE
Brasil,201602,Distribuicao_PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra18 a 24 anos,4094,4105,100052,0.14532624548854164,3.5524221280270745e-4,0.24444463669208105,0.2,0.04444463669208104,TRUE
Brasil,201603,Distribuicao_PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra18 a 24 anos,4094,4105,100052,0.14500299168497716,3.2717093127877355e-4,0.22563046974200443,0.2,0.02563046974200442,TRUE
Brasil,202602,Distribuicao_PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra18 a 24 anos,4094,4105,100052,0.12020623542386732,3.1667946398055677e-4,0.26344678615372313,0.3,-0.036553213846276855,TRUE
Brasil,201602,Distribuicao_PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra25 a 39 anos,4094,4105,108875,0.3091146332395039,3.6353690651299468e-12,1.1760585472876145e-9,NA,NA,NA
Brasil,201603,Distribuicao_PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra25 a 39 anos,4094,4105,108875,0.3084957237685225,1.1856080150488378e-12,3.8431910840308765e-10,NA,NA,NA
Brasil,202602,Distribuicao_PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra25 a 39 anos,4094,4105,108875,0.27673503644221176,5.042225311466338e-13,1.822040814307683e-10,NA,NA,NA
Brasil,201602,Distribuicao_PIT_por_Faixa_Etaria_SIDRA,Faixa_Etaria_sidra40 a 59 anos,4094,4105,99127,0.30251246624793365,4.780640658987877e-12,1.580311951531198e-9,NA,NA,NA
