estrato_geografico,n_UPAs,k_usado,k_IBGE,E_IBGE,confere
221001,929,3,3,"1,2,3",TRUE
221002,104,1,1,0,TRUE
221003,300,1,1,0,TRUE
222001,190,1,1,0,TRUE
222002,179,1,1,0,TRUE
225101,734,3,3,"1,2,3",TRUE
225102,864,3,3,"0,1,2",TRUE
225201,818,3,3,"1,2,3",TRUE
225202,837,3,3,"0,1,2",TRUE
225301,505,3,3,"0,1,2",TRUE
225302,489,3,3,"0,1,2",TRUE
