Indicador,Indicador_Nome,Regiao_Geografica,Geografia_Nome,Recorte_Demografico,Recorte_Nome,Variavel_Testada,Metodo,Estatistica,GL,p_valor,Significancia,p_ajustado,Significancia_ajustada,N
Proporcao_Ocupados_Escolarizados,Ocupados com Ensino Médio Completo ou Mais,Micro_2252011,Micro 2252011,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),194.07869589102455,"1, 131",0,***,0,***,209
Proporcao_Ocupados_Escolarizados,Ocupados com Ensino Médio Completo ou Mais,Micro_2252012,Micro 2252012,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),201.3751592447062,"1, 145",0,***,0,***,222
Proporcao_Ocupados_Escolarizados,Ocupados com Ensino Médio Completo ou Mais,Micro_2252020,Micro 2252020,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),199.10898264150933,"1, 166",0,***,0,***,241
Proporcao_Ocupados_Escolarizados,Ocupados com Ensino Médio Completo ou Mais,Micro_2253011,Micro 2253011,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),165.33816210464573,"1, 123",0,***,0,***,199
Desalentados_Forca_Ampliada,Desalentados na Força de Trabalho Ampliada,Micro_2253012,Micro 2253012,Sexo,Sexo,Sexo,svyglm+regTermTest(LRT),0.9620407129561102,"1, 162",0,***,0,***,428
Desalentados_Forca_Ampliada,Desalentados na Força de Trabalho Ampliada,Micro_2253012,Micro 2253012,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),0.985276316125141,"1, 162",0,***,0,***,428
Rendimento_Formal,Rendimento Médio — Setor Formal,Micro_2253022,Micro 2253022,Raca,Cor ou Raça,Raca,svyglm+regTermTest(LRT),70559.28135691838,"1, 33",0,***,0,***,74
Rendimento_Formal,Rendimento Médio — Setor Formal,Micro_2253022,Micro 2253022,Instrucao,Grau de Instrução (detalhado),VD3004,svyglm+regTermTest(LRT),70559.28135691838,"3, 33",0,***,0,***,74
Proporcao_Ocupados_Escolarizados,Ocupados com Ensino Médio Completo ou Mais,Micro_2252013,Micro 2252013,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),175.84566892145017,"1, 107",3.807978952722824e-292,***,5.629186277938088e-292,***,171
Proporcao_Ocupados_Escolarizados,Ocupados com Ensino Médio Completo ou Mais,Micro_2253012,Micro 2253012,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),157.76756858011413,"1, 113",5.788677211449651e-292,***,8.200626049553673e-292,***,173
Desalentados_Forca_Ampliada,Desalentados na Força de Trabalho Ampliada,Micro_2210013,Micro 2210013,Sexo,Sexo,Sexo,svyglm+regTermTest(LRT),1.6678932364223371,"1, 145",8.439387105866896e-292,***,1.4768927435267066e-291,***,410
Proporcao_Ocupados_Escolarizados,Ocupados com Ensino Médio Completo ou Mais,Micro_2220020,Micro 2220020,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),139.49458351584423,"1, 108",2.4924655343253584e-291,***,3.3897531266824876e-291,***,155
Proporcao_Ocupados_Escolarizados,Ocupados com Ensino Médio Completo ou Mais,Micro_2210020,Micro 2210020,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),139.15500084362492,"1, 107",4.2299387187109616e-291,***,5.531458324468181e-291,***,163
Taxa_Subocupacao,Subocupação por Insuficiência de Horas,Micro_2210012,Micro 2210012,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),0.4653873272603306,"1, 177",3.979876400665102e-288,***,1.4327555042394368e-286,***,304
Proporcao_Ocupados_Escolarizados,Ocupados com Ensino Médio Completo ou Mais,Micro_2251013,Micro 2251013,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),131.11873757441458,"1, 100",1.560396323551624e-272,***,1.96494351854649e-272,***,145
Proporcao_Ocupados_Escolarizados,Ocupados com Ensino Médio Completo ou Mais,Micro_2253020,Micro 2253020,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),104.1920567660484,"1, 94",2.238097773285444e-265,***,2.717690153275182e-265,***,121
Desalentados_Forca_Ampliada,Desalentados na Força de Trabalho Ampliada,Micro_2210013,Micro 2210013,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),0.904922475885776,"1, 145",5.599942626765147e-260,***,9.519902465500749e-259,***,410
Taxa_Subocupacao,Subocupação por Insuficiência de Horas,Micro_2210013,Micro 2210013,Raca,Cor ou Raça,Raca,svyglm+regTermTest(LRT),2.05955531994762,"2, 120",7.009969233495606e-249,***,1.051495385024341e-247,***,210
