janela,amostragem,periodo,Indicador,Subcategoria_Indicador,Regiao_Geografica,Nivel_Geografico,Recorte_Demografico,Categoria_Demografica,n_trimestres,n_com_estimativa,cv_mediano,cv_p80,cv_max,pct_excelente,pct_boa,pct_regular,pct_baixa,pct_sem_estimativa,cv_mediano_pre_transicao,cv_mediano_transicao,cv_max_recentes,razao_cv_transicao,crit_a,crit_b,crit_c,instavel
principal,todos,2022T1-2026T2,Chefes_Familia_Desocupados,"VD2002 == ""Pessoa responsável""/VD4002 == ""Pessoas desocupadas""",Admin_Capital,Estrato_Admin,Faixa_Etaria_trabalho,Adulto,18,18,15.487398982435913,17.669635669194715,20.013390209242274,0,38.888888888888886,61.111111111111114,0,0,16.01753829010197,12.629756571450613,13.42683172149423,0.7884954818091594,FALSE,FALSE,FALSE,FALSE
sem_pandemia,espacado_5,2016T2-2026T2,Chefes_Familia_Desocupados,"VD2002 == ""Pessoa responsável""/VD4002 == ""Pessoas desocupadas""",Admin_Capital,Estrato_Admin,Faixa_Etaria_trabalho,Adulto,8,8,13.867922699032448,18.11410864256239,21.62140337853266,0,62.5,37.5,0,0,16.01753829010197,12.629756571450613,13.42683172149423,0.7884954818091594,FALSE,TRUE,FALSE,FALSE
sem_pandemia,todos,2016T2-2026T2,Chefes_Familia_Desocupados,"VD2002 == ""Pessoa responsável""/VD4002 == ""Pessoas desocupadas""",Admin_Capital,Estrato_Admin,Faixa_Etaria_trabalho,Adulto,34,34,15.141034558272139,17.505686047662998,21.62140337853266,0,47.05882352941177,52.94117647058823,0,0,16.01753829010197,12.629756571450613,13.42683172149423,0.7884954818091594,FALSE,FALSE,FALSE,FALSE
serie_toda,espacado_5,2016T2-2026T2,Chefes_Familia_Desocupados,"VD2002 == ""Pessoa responsável""/VD4002 == ""Pessoas desocupadas""",Admin_Capital,Estrato_Admin,Faixa_Etaria_trabalho,Adulto,9,9,14.57571157746553,17.34439972855389,21.62140337853266,0,55.55555555555556,44.44444444444444,0,0,16.01753829010197,12.629756571450613,13.42683172149423,0.7884954818091594,FALSE,TRUE,FALSE,FALSE
serie_toda,todos,2016T2-2026T2,Chefes_Familia_Desocupados,"VD2002 == ""Pessoa responsável""/VD4002 == ""Pessoas desocupadas""",Admin_Capital,Estrato_Admin,Faixa_Etaria_trabalho,Adulto,41,41,15.383964990064992,17.99753491225815,22.703653542465897,0,39.02439024390244,60.97560975609756,0,0,16.01753829010197,12.629756571450613,13.42683172149423,0.7884954818091594,FALSE,FALSE,FALSE,FALSE
principal,espacado_5,2022T3-2026T2,Chefes_Familia_Desocupados,"VD2002 == ""Pessoa responsável""/VD4002 == ""Pessoas desocupadas""",Admin_Capital,Estrato_Admin,Faixa_Etaria_trabalho,Idoso,4,2,0,0,0,50,0,0,0,50,0,0,81.19159854000829,NA,FALSE,TRUE,TRUE,TRUE
principal,todos,2022T1-2026T2,Chefes_Familia_Desocupados,"VD2002 == ""Pessoa responsável""/VD4002 == ""Pessoas desocupadas""",Admin_Capital,Estrato_Admin,Faixa_Etaria_trabalho,Idoso,18,11,0,60.88697280275287,81.19159854000829,44.44444444444444,0,0,16.666666666666668,38.888888888888886,0,0,81.19159854000829,NA,FALSE,TRUE,FALSE,TRUE
sem_pandemia,espacado_5,2016T2-2026T2,Chefes_Familia_Desocupados,"VD2002 == ""Pessoa responsável""/VD4002 == ""Pessoas desocupadas""",Admin_Capital,Estrato_Admin,Faixa_Etaria_trabalho,Idoso,8,2,0,0,0,25,0,0,0,75,0,0,81.19159854000829,NA,FALSE,TRUE,TRUE,TRUE
sem_pandemia,todos,2016T2-2026T2,Chefes_Familia_Desocupados,"VD2002 == ""Pessoa responsável""/VD4002 == ""Pessoas desocupadas""",Admin_Capital,Estrato_Admin,Faixa_Etaria_trabalho,Idoso,34,17,0,59.300699951307415,181.72926079225647,32.35294117647059,0,0,17.647058823529413,50,0,0,81.19159854000829,NA,FALSE,TRUE,FALSE,TRUE
serie_toda,espacado_5,2016T2-2026T2,Chefes_Familia_Desocupados,"VD2002 == ""Pessoa responsável""/VD4002 == ""Pessoas desocupadas""",Admin_Capital,Estrato_Admin,Faixa_Etaria_trabalho,Idoso,9,3,0,0,0,33.333333333333336,0,0,0,66.66666666666667,0,0,81.19159854000829,NA,FALSE,TRUE,TRUE,TRUE
