Indicador,Indicador_Nome,Recorte_Regional,Recorte_Nome,Variavel_Testada,Metodo,Estatistica,GL,p_valor,Significancia,p_ajustado,Significancia_ajustada,N
Nivel_Ocupacao,Nivel_Ocupacao,Estrato_Administrativo,Estrato Administrativo,Estrato_Admin,svyglm+regTermTest(LRT),140.21066499949666,"2, 199",4.0973450569422166e-14,***,1.3202556294591584e-13,***,10588
Taxa_Informalidade,Taxa de Informalidade,Estrato_Agregado,Estrato Agregado/Geográfico,Estrato_agregado,svyglm+regTermTest(LRT),213.796846621035,"4, 199",5.748916867379725e-14,***,1.7862705980787e-13,***,4961
Percentual_Subremuneracao,Subremuneração (abaixo do salário-mínimo/hora),Estrato_Agregado,Estrato Agregado/Geográfico,Estrato_agregado,svyglm+regTermTest(LRT),237.67706058414933,"4, 199",1.354491732286283e-13,***,4.06347519685885e-13,***,12926
Percentual_Subremuneracao,Subremuneração (abaixo do salário-mínimo/hora),Teresina_x_Resto_Piaui,Teresina x Resto do Piauí,Teresina_Resto,svyglm+regTermTest(LRT),166.3394840363144,"1, 199",3.604553446766453e-13,***,1.0453204995622713e-12,***,12926
Percentual_Subremuneracao,Subremuneração (abaixo do salário-mínimo/hora),Estrato_Administrativo,Estrato Administrativo,Estrato_Admin,svyglm+regTermTest(LRT),167.76237757375202,"2, 199",5.499935563206157e-13,***,1.5435303032223733e-12,***,12926
Rendimento_Informal,Rendimento Médio — Setor Informal,Estrato_Agregado,Estrato Agregado/Geográfico,Estrato_agregado,svyglm+regTermTest(LRT),515888776.7698183,"4, 199",1.7754899458790818e-12,***,4.827113290358754e-12,***,2485
Desalentados_Fora_Forca,Desalentados Fora da Força de Trabalho,Estrato_Administrativo,Estrato Administrativo,Estrato_Admin,svyglm+regTermTest(LRT),164.95306137554508,"2, 199",2.3238255306028837e-12,***,6.126449126134875e-12,***,5164
Rendimento_Informal,Rendimento Médio — Setor Informal,Estrato_Administrativo,Estrato Administrativo,Estrato_Admin,svyglm+regTermTest(LRT),483905764.70122623,"2, 199",5.940274646493721e-12,***,1.5200114536616285e-11,***,2485
Rendimento_Informal,Rendimento Médio — Setor Informal,Teresina_x_Resto_Piaui,Teresina x Resto do Piauí,Teresina_Resto,svyglm+regTermTest(LRT),478354890.01124096,"1, 199",7.1480213838125375e-12,***,1.7767938868334023e-11,***,2485
Desalentados_Forca_Ampliada,Desalentados na Força de Trabalho Ampliada,Zona,Zona (Urbana/Rural),Zona,svyglm+regTermTest(LRT),245.08202080861335,"1, 199",1.9511108911635616e-11,***,4.7151846536452735e-11,***,5785
Taxa_Composta_Subutilizacao,Taxa_Composta_Subutilizacao,Estrato_Micro,Estrato de 7 dígitos,Estrato,svyglm+regTermTest(LRT),663.9404745087022,"25, 199",1.2029224413699135e-10,***,2.828493308086013e-10,***,5949
