checagem,ok,territorio,ano,tri
ocup + desocup == ft,TRUE,Piauí,2020,1
sexo: soma == pit,TRUE,Piauí,2020,1
faixa SIDRA: soma == pit,TRUE,Piauí,2020,1
subutil <= ft_ampliada,TRUE,Piauí,2020,1
taxa desocupação antiga == nova,TRUE,Piauí,2020,1
ft + fora_ft == pit,TRUE,Piauí,2020,2
ocup + desocup == ft,TRUE,Piauí,2020,2
sexo: soma == pit,TRUE,Piauí,2020,2
faixa SIDRA: soma == pit,TRUE,Piauí,2020,2
subutil <= ft_ampliada,TRUE,Piauí,2020,2
taxa desocupação antiga == nova,TRUE,Piauí,2020,2
ft + fora_ft == pit,TRUE,Piauí,2020,3
ocup + desocup == ft,TRUE,Piauí,2020,3
sexo: soma == pit,TRUE,Piauí,2020,3
faixa SIDRA: soma == pit,TRUE,Piauí,2020,3
subutil <= ft_ampliada,TRUE,Piauí,2020,3
taxa desocupação antiga == nova,TRUE,Piauí,2020,3
ft + fora_ft == pit,TRUE,Piauí,2020,4
ocup + desocup == ft,TRUE,Piauí,2020,4
sexo: soma == pit,TRUE,Piauí,2020,4
faixa SIDRA: soma == pit,TRUE,Piauí,2020,4
subutil <= ft_ampliada,TRUE,Piauí,2020,4
taxa desocupação antiga == nova,TRUE,Piauí,2020,4
ft + fora_ft == pit,TRUE,Piauí,2021,1
ocup + desocup == ft,TRUE,Piauí,2021,1
sexo: soma == pit,TRUE,Piauí,2021,1
faixa SIDRA: soma == pit,TRUE,Piauí,2021,1
subutil <= ft_ampliada,TRUE,Piauí,2021,1
taxa desocupação antiga == nova,TRUE,Piauí,2021,1
ft + fora_ft == pit,TRUE,Piauí,2021,2
ocup + desocup == ft,TRUE,Piauí,2021,2
sexo: soma == pit,TRUE,Piauí,2021,2
faixa SIDRA: soma == pit,TRUE,Piauí,2021,2
subutil <= ft_ampliada,TRUE,Piauí,2021,2
taxa desocupação antiga == nova,TRUE,Piauí,2021,2
ft + fora_ft == pit,TRUE,Piauí,2021,3
ocup + desocup == ft,TRUE,Piauí,2021,3
sexo: soma == pit,TRUE,Piauí,2021,3
faixa SIDRA: soma == pit,TRUE,Piauí,2021,3
subutil <= ft_ampliada,TRUE,Piauí,2021,3
taxa desocupação antiga == nova,TRUE,Piauí,2021,3
ft + fora_ft == pit,TRUE,Piauí,2021,4
ocup + desocup == ft,TRUE,Piauí,2021,4
sexo: soma == pit,TRUE,Piauí,2021,4
faixa SIDRA: soma == pit,TRUE,Piauí,2021,4
