Indicador,Indicador_Nome,Subcategoria_Indicador,Tipo_Geo,Regiao_Geografica,Geografia_Nome,Estimativa,SE,IC_95,IC_inf,IC_sup,CV,Confiabilidade
Chefes_Familia_Desocupados,Pessoas Responsáveis pelo Domicílio Desocupadas,"VD2002 == ""Pessoa responsável""/VD4002 == ""Pessoas desocupadas""",Outro,Micro_2210020,Micro 2210020,0.16704485869993868,0.07705501677164853,[0.016 — 0.318],0.01601702582750758,0.3180726915723698,46.128337843705694,Baixa
Chefes_Familia_Desocupados,Pessoas Responsáveis pelo Domicílio Desocupadas,"VD2002 == ""Pessoa responsável""/VD4002 == ""Pessoas desocupadas""",Outro,Micro_2210030,Micro 2210030,0.2606318205171226,0.07730694022181005,[0.109 — 0.412],0.10911021768237489,0.4121534233518703,29.66135910359083,Regular (*)
Chefes_Familia_Desocupados,Pessoas Responsáveis pelo Domicílio Desocupadas,"VD2002 == ""Pessoa responsável""/VD4002 == ""Pessoas desocupadas""",Outro,Micro_2220010,Micro 2220010,0.3717318577758225,0.11063250562415686,[0.155 — 0.589],0.1548921467524751,0.5885715687991699,29.76137323448752,Regular (*)
Chefes_Familia_Desocupados,Pessoas Responsáveis pelo Domicílio Desocupadas,"VD2002 == ""Pessoa responsável""/VD4002 == ""Pessoas desocupadas""",Outro,Micro_2220020,Micro 2220020,0.4086943955176488,0.0728063748767715,[0.266 — 0.551],0.26599390075917667,0.551394890276121,17.814380543328852,Regular (*)
Chefes_Familia_Desocupados,Pessoas Responsáveis pelo Domicílio Desocupadas,"VD2002 == ""Pessoa responsável""/VD4002 == ""Pessoas desocupadas""",Outro,Micro_2251011,Micro 2251011,0.3749751021639919,0.14383411100625831,[0.093 — 0.657],0.09306024459172557,0.6568899597362582,38.35830970541447,Baixa
Chefes_Familia_Desocupados,Pessoas Responsáveis pelo Domicílio Desocupadas,"VD2002 == ""Pessoa responsável""/VD4002 == ""Pessoas desocupadas""",Outro,Micro_2251012,Micro 2251012,0.5863858641923767,0.14986396597551338,[0.293 — 0.880],0.2926524908803705,0.8801192375043829,25.557226926320865,Regular (*)
Chefes_Familia_Desocupados,Pessoas Responsáveis pelo Domicílio Desocupadas,"VD2002 == ""Pessoa responsável""/VD4002 == ""Pessoas desocupadas""",Outro,Micro_2251013,Micro 2251013,0.5184533359133561,0.16993554156773824,[0.185 — 0.852],0.18537967444058912,0.851526997386123,32.777403441404005,Baixa
Chefes_Familia_Desocupados,Pessoas Responsáveis pelo Domicílio Desocupadas,"VD2002 == ""Pessoa responsável""/VD4002 == ""Pessoas desocupadas""",Outro,Micro_2251020,Micro 2251020,0.4407000318778552,0.07926139626812741,[0.285 — 0.596],0.2853476951923255,0.596052368563385,17.985339354387783,Regular (*)
Chefes_Familia_Desocupados,Pessoas Responsáveis pelo Domicílio Desocupadas,"VD2002 == ""Pessoa responsável""/VD4002 == ""Pessoas desocupadas""",Outro,Micro_2251021,Micro 2251021,0.44360460213556246,0.27484642340940146,[-0.095 — 0.982],-0.09509438774686435,0.9823035920179892,61.95752300275061,Baixa
Chefes_Familia_Desocupados,Pessoas Responsáveis pelo Domicílio Desocupadas,"VD2002 == ""Pessoa responsável""/VD4002 == ""Pessoas desocupadas""",Outro,Micro_2251022,Micro 2251022,0.20348142279967105,0.2149929654046663,[-0.218 — 0.625],-0.21790478939347493,0.6248676349928171,105.65729413850642,Baixa
Chefes_Familia_Desocupados,Pessoas Responsáveis pelo Domicílio Desocupadas,"VD2002 == ""Pessoa responsável""/VD4002 == ""Pessoas desocupadas""",Outro,Micro_2252011,Micro 2252011,0.2117521196512965,0.1318552157594776,[-0.047 — 0.470],-0.04668410323727959,0.47018834253987263,62.26866393432594,Baixa
Chefes_Familia_Desocupados,Pessoas Responsáveis pelo Domicílio Desocupadas,"VD2002 == ""Pessoa responsável""/VD4002 == ""Pessoas desocupadas""",Outro,Micro_2252012,Micro 2252012,0.3758000600369258,0.15098528954518797,[0.080 — 0.672],0.07986889252835738,0.6717312275454942,40.17702645666216,Baixa
Chefes_Familia_Desocupados,Pessoas Responsáveis pelo Domicílio Desocupadas,"VD2002 == ""Pessoa responsável""/VD4002 == ""Pessoas desocupadas""",Outro,Micro_2252013,Micro 2252013,0.36009828832756946,0.17143867777854616,[0.024 — 0.696],0.024078479881618986,0.6961180967735199,47.60885661933335,Baixa
Chefes_Familia_Desocupados,Pessoas Responsáveis pelo Domicílio Desocupadas,"VD2002 == ""Pessoa responsável""/VD4002 == ""Pessoas desocupadas""",Outro,Micro_2252020,Micro 2252020,0.3823394208974949,0.14520127350090528,[0.098 — 0.667],0.09774492483572056,0.6669339169592692,37.977060581423466,Baixa
Chefes_Familia_Desocupados,Pessoas Responsáveis pelo Domicílio Desocupadas,"VD2002 == ""Pessoa responsável""/VD4002 == ""Pessoas desocupadas""",Outro,Micro_2252021,Micro 2252021,0,0,[0.000 — 0.000],0,0,NA,NA
Chefes_Familia_Desocupados,Pessoas Responsáveis pelo Domicílio Desocupadas,"VD2002 == ""Pessoa responsável""/VD4002 == ""Pessoas desocupadas""",Outro,Micro_2252022,Micro 2252022,0,0,[0.000 — 0.000],0,0,NA,NA
Chefes_Familia_Desocupados,Pessoas Responsáveis pelo Domicílio Desocupadas,"VD2002 == ""Pessoa responsável""/VD4002 == ""Pessoas desocupadas""",Outro,Micro_2253010,Micro 2253010,0.3735973802837919,0.15761304143089233,[0.065 — 0.683],0.06467581907924297,0.6825189414883408,42.187940748183614,Baixa
Chefes_Familia_Desocupados,Pessoas Responsáveis pelo Domicílio Desocupadas,"VD2002 == ""Pessoa responsável""/VD4002 == ""Pessoas desocupadas""",Outro,Micro_2253011,Micro 2253011,0.5770429994398508,0.21906309439637617,[0.148 — 1.006],0.14767933442295356,1.006406664456748,37.96304514724654,Baixa
