territorio,ano,tri,gini_catalogo,cv,gini_pares,ajuste_convencao,ok
Brasil,2016,2,0.48592924079594657,0.9402738530722116,0.48591796477637317,1.1276019573510556e-5,TRUE
Nordeste,2016,2,0.505216157517212,1.1063537666491874,0.5051880474373589,2.8110079853416492e-5,TRUE
Piauí,2016,2,0.5649349569778856,3.3714679114562562,0.5645793515333777,3.556054445081215e-4,TRUE
Brasil,2016,3,0.4868844857754877,0.8566080252831887,0.48687327970842276,1.1206067064894126e-5,TRUE
Nordeste,2016,3,0.5033365909847285,1.0749715468893493,0.5033081674051167,2.842357961177309e-5,TRUE
Piauí,2016,3,0.5399048332262446,3.5736592984426387,0.5395754397505185,3.293934757262656e-4,TRUE
Piauí,2016,4,0.5366694233189839,3.2663498909654254,0.5363449497828651,3.244735361187836e-4,TRUE
Piauí,2017,1,0.55880085284073,3.0452719284271046,0.5584678890173339,3.329638233960263e-4,TRUE
Piauí,2017,2,0.5466599825312501,3.4420949191956747,0.5463434877234663,3.164948077839508e-4,TRUE
Piauí,2017,3,0.5331048618949799,3.5767533306718895,0.5327937692068857,3.110926880943644e-4,TRUE
Piauí,2017,4,0.5220736072748342,3.166215811906942,0.521779089869794,2.94517405039992e-4,TRUE
Piauí,2018,1,0.5305420790659745,2.960560604127555,0.5302512436605418,2.9083540543260646e-4,TRUE
Piauí,2018,2,0.5339896716283774,1.9557516198718952,0.5337027306913632,2.8694093701431164e-4,TRUE
Piauí,2018,3,0.5442680055221056,2.286789881508853,0.5439888499839226,2.7915553818295117e-4,TRUE
Piauí,2018,4,0.5421484526431439,2.048693989456381,0.5418671479871664,2.81304655977219e-4,TRUE
Piauí,2019,1,0.5691712553266584,2.6154891698416463,0.568884762450615,2.8649287604321855e-4,TRUE
Piauí,2019,2,0.5583636031205315,2.311615528724851,0.5580715438208522,2.920592996792223e-4,TRUE
Piauí,2019,3,0.5517837193170871,2.6995036060304534,0.5514895082036047,2.9421111348243044e-4,TRUE
Piauí,2019,4,0.5319470161030981,2.605686824692921,0.5316535690163653,2.934470867326981e-4,TRUE
Piauí,2020,1,0.5376680269859722,2.710012010879143,0.5365441411439122,0.0011238858420599756,TRUE
Piauí,2020,2,0.532618720662738,3.3441009963116755,0.5317229107794463,8.958098832920551e-4,TRUE
Piauí,2020,3,0.5299827796631578,3.1603207091123937,0.5288716710764385,0.00111110858671936,TRUE
Piauí,2020,4,0.5455333065147587,2.8392979909518474,0.5443130515464781,0.0012202549682805656,TRUE
Piauí,2021,1,0.5389222178055733,2.9160432582854248,0.5379894683383103,9.327494672629336e-4,TRUE
Piauí,2021,2,0.520581246586364,2.613677603651847,0.5197699742682144,8.112723181496517e-4,TRUE
Piauí,2021,3,0.5296637192960334,2.791682288397515,0.529168693036026,4.950262600073945e-4,TRUE
Piauí,2021,4,0.5433041076449643,2.392165431323126,0.5428690060280186,4.351016169456826e-4,TRUE
Piauí,2022,1,0.524581567429975,2.294012753966679,0.5241643773917553,4.1719003821977295e-4,TRUE
Piauí,2022,2,0.5488636416339847,2.4049280655543304,0.5484598144621062,4.038271718785428e-4,TRUE
Piauí,2022,3,0.5624349408699334,2.9353868555641913,0.562020197583762,4.1474328617135286e-4,TRUE
Piauí,2022,4,0.5581116070729872,4.500327772764727,0.5576106060336744,5.010010393129285e-4,TRUE
Piauí,2023,1,0.580322956337123,6.1475552800334174,0.5798281610602112,4.947952769120892e-4,TRUE
Piauí,2023,2,0.5687046553411732,5.5592983319903535,0.5682534736659034,4.511816752697775e-4,TRUE
Piauí,2023,3,0.580423325989996,5.042405875299603,0.5800305557572856,3.927702327103711e-4,TRUE
Piauí,2023,4,0.556779319234747,5.645475997287574,0.5563250470771806,4.5427215756668613e-4,TRUE
Piauí,2024,1,0.5624154696082555,5.381829970428951,0.5619998867176638,4.155828905918418e-4,TRUE
Piauí,2024,2,0.5719762810139806,5.142082784414795,0.5715525476674154,4.237333465652526e-4,TRUE
Piauí,2024,3,0.5646358779262202,5.1275928808452464,0.5642307464496319,4.051314765881641e-4,TRUE
Piauí,2024,4,0.5640396285685803,6.293986760121866,0.5636171707535078,4.224578150725326e-4,TRUE
Piauí,2025,1,0.55916556150641,4.127856057523376,0.5587651165663912,4.0044494001876846e-4,TRUE
Piauí,2025,2,0.5339525416796838,3.8929503096571763,0.533580071168164,3.7247051151998204e-4,TRUE
Piauí,2025,3,0.5504432691245045,4.159970255340688,0.5501197682350981,3.235008894062669e-4,TRUE
Piauí,2025,4,0.5441415542132744,4.268987199799039,0.5438192696779984,3.2228453527586724e-4,TRUE
Piauí,2026,1,0.5301717537672246,3.297823840944809,0.5298673266501563,3.044271170679862e-4,TRUE
Brasil,2026,2,0.48375040587964824,0.5853532963217712,0.4837410666206741,9.339258974239084e-6,TRUE
Nordeste,2026,2,0.49910274929070453,1.0922994258157217,0.4990760353639116,2.6713926793038506e-5,TRUE
Piauí,2026,2,0.507416642348097,2.379746753337753,0.5071434118499223,2.7323049817461144e-4,TRUE
